{System 2022/10/31 14:21:53:2153}: org.BluminEngine6.Editor.Componants.Camera@30dae81_org.BluminEngine6.Editor.Componants.Transform@1b2c6ec2
{System 2022/10/31 14:21:53:2153}: ExampleGame.ExampleGameobject@685f4c2e_org.BluminEngine6.Editor.Componants.Transform@7daf6ecc
{System 2022/10/31 14:21:53:2153}: Starting BluminEngine6 0.0.0.0_Pre-Alpha
{System 2022/10/31 14:21:54:2154}: Opening game: Development System Version 1.0.0.0_Example
{System 2022/10/31 14:21:54:2154}: ExampleGame.ExampleGameobject@685f4c2e_org.BluminEngine6.Editor.Rendering.MeshRenderer3D@70beb599
{System 2022/10/31 14:21:54:2154}: [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]
{System 2022/10/31 14:21:57:2157}: [1.0, 1.7453292E-4, 0.0, 0.0, -1.7453292E-4, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.01, 0.0, 0.0, 0.0, 1.0]
{System 2022/10/31 14:21:57:2157}: [0.99999994, 3.4906584E-4, 0.0, 0.0, -3.4906584E-4, 0.99999994, 0.0, 0.0, 0.0, 0.0, 1.0, 0.02, 0.0, 0.0, 0.0, 1.0]
{System 2022/10/31 14:21:57:2157}: [0.9999999, 5.2359875E-4, 0.0, 0.0, -5.2359875E-4, 0.9999999, 0.0, 0.0, 0.0, 0.0, 1.0, 0.03, 0.0, 0.0, 0.0, 1.0]
{System 2022/10/31 14:21:57:2157}: [0.99999976, 6.981316E-4, 0.0, 0.0, -6.981316E-4, 0.99999976, 0.0, 0.0, 0.0, 0.0, 1.0, 0.04, 0.0, 0.0, 0.0, 1.0]
{System 2022/10/31 14:21:57:2157}: [0.99999964, 8.726645E-4, 0.0, 0.0, -8.726645E-4, 0.99999964, 0.0, 0.0, 0.0, 0.0, 1.0, 0.05, 0.0, 0.0, 0.0, 1.0]
{System 2022/10/31 14:21:57:2157}: [0.99999946, 0.0010471974, 0.0, 0.0, -0.0010471974, 0.99999946, 0.0, 0.0, 0.0, 0.0, 1.0, 0.060000002, 0.0, 0.0, 0.0, 1.0]
{System 2022/10/31 14:21:57:2157}: [0.9999992, 0.0012217301, 0.0, 0.0, -0.0012217301, 0.9999992, 0.0, 0.0, 0.0, 0.0, 1.0, 0.07, 0.0, 0.0, 0.0, 1.0]
{System 2022/10/31 14:21:57:2157}: [0.99999905, 0.0013962629, 0.0, 0.0, -0.0013962629, 0.99999905, 0.0, 0.0, 0.0, 0.0, 1.0, 0.08, 0.0, 0.0, 0.0, 1.0]
{System 2022/10/31 14:21:57:2157}: [0.99999875, 0.0015707957, 0.0, 0.0, -0.0015707957, 0.99999875, 0.0, 0.0, 0.0, 0.0, 1.0, 0.089999996, 0.0, 0.0, 0.0, 1.0]
